Site,Date Range of Specimen Collection,Round,Catchment FIPS Code Description,Catchment Area Description,Catchment population,n [0-17 Years Prevalence],Rate (%) [0-17 Years Prevalence],Lower CI [0-17 Years Prevalence],Upper CI [0-17 Years Prevalence],CI Flag [0-17 Years Prevalence],n [18-49 Years Prevalence],Rate (%) [18-49 Years Prevalence],Lower CI [18-49 Years Prevalence],Upper CI [18-49 Years Prevalence],CI Flag [18-49 Years Prevalence],n [50-64 Years Prevalence],Rate (%) [50-64 Years Prevalence],Lower CI [50-64 Years Prevalence],Upper CI [50-64 Years Prevalence],CI Flag [50-64 Years Prevalence],n [65+ Years Prevalence],Rate (%) [65+ Years Prevalence],Lower CI [65+ Years Prevalence],Upper CI [65+ Years Prevalence],CI Flag [65+ Years Prevalence],n [Male Prevalence],Rate (%) [Male Prevalence],Lower CI [Male Prevalence],Upper CI [Male Prevalence],CI Flag [Male Prevalence],n [Female Prevalence],Rate (%) [Female Prevalence],Lower CI [Female Prevalence],Upper CI [Female Prevalence],CI Flag [Female Prevalence],n [Cumulative Prevalence],Rate (%) [Cumulative Prevalence],Lower CI [Cumulative Prevalence],Upper CI [Cumulative Prevalence],CI Flag [Cumulative Prevalence],Estimated cumulative infections count,Estimated cumulative infections lower CI 7,Estimated cumulative infections upper CI 7,All age-sex strata had at least one positive,Site Large CI Flag
NV,"Mar 22 - Mar 30, 2021",17,Statewide,Statewide,2922849,151,26.8,19.58,34.18,0,364,39.8,34.68,45.41,0,386,20.6,16.54,24.68,0,405,15.9,12.27,19.67,0,566,29.9,25.36,34.23,0,739,29.2,25.2,33.2,0,1306,29.6,26.59,32.59,0,865163,777186,952556,true,false
NY,"Mar 16 -  Apr 3, 2021",17,Statewide,Statewide,19618453,287,11.6,8.24,15.29,0,335,12.1,8.64,15.94,0,352,12.5,8.7,16.4,0,323,13,8.83,17.09,0,617,15,12.22,18.46,0,680,9.6,7.37,12.21,0,1297,12.2,10.33,14.61,0,2393451,2026586,2866256,true,false
OH,"Mar 22 - Mar 30, 2021",17,Statewide,Statewide,11641879,325,32.7,27.03,37.71,0,335,38.7,32.95,44.04,0,358,36.1,30.55,41.61,0,320,24.3,19.45,29.11,0,644,42.6,38.39,46.68,0,694,26.7,23,30.48,0,1338,34.5,31.68,37.09,0,4016448,3688147,4317973,true,false
OK,"Mar 18 - Mar 26, 2021",17,Statewide,Statewide,3918137,325,18.3,13.76,22.9,0,325,14.1,10.43,17.99,0,325,18.5,14.13,22.94,0,324,12,8.26,15.56,0,529,16.4,13.09,19.68,0,770,14.9,12.31,17.88,0,1299,15.6,13.43,18.07,0,611229,526206,708007,true,false
OR,"Mar 17 - Mar 31, 2021",17,Statewide,Statewide,4081943,185,11.5,6.7,16.87,0,324,4.6,2.21,7.23,0,358,5.9,3.36,8.79,0,447,4.3,2.45,6.53,0,546,5.9,3.76,8.02,0,768,6.6,4.33,8.96,0,1314,6.3,4.69,7.95,0,257162,191443,324514,true,false
PA,"Mar 22 -  Apr 4, 2021",17,Statewide,Statewide,12791181,416,17.4,13.89,21.21,0,407,23.5,18.31,28.7,0,501,18.4,14.85,22.39,0,412,13.3,9.58,16.8,0,682,18.2,14.58,22.17,0,1054,20.5,17.74,23.31,0,1736,19.4,16.97,21.66,0,2481489,2170663,2770570,true,false
PR,"Mar 22 - Mar 30, 2021",17,Statewide,Statewide,3386941,325,8.1,4.97,11.75,0,325,32.9,26.98,39.91,0,326,29.9,24.37,35.5,0,325,62.6,55.69,68.87,0,508,30.1,25.49,35.02,0,793,35.4,31.58,39.8,0,1301,32.9,30.03,36.02,0,1114304,1017098,1219976,true,false
RI,"Mar 22 -  Apr 3, 2021",17,Statewide,Statewide,1056611,52,777,,,,386,10.5,7.45,14.08,0,275,11.9,8.2,16.35,0,224,8.8,5.1,12.87,0,412,13.9,9.71,18.32,0,525,10.5,7.28,14.09,0,937,12.2,9.4,14.84,0,128907,99321,156801,true,false
SC,"Mar 22 -  Apr 1, 2021",17,Statewide,Statewide,4955925,396,30.2,25.62,34.7,0,366,28.9,24.25,33.52,0,405,23.5,18.69,28.07,0,380,15.1,11.05,19.57,0,574,25.3,21.44,29.49,0,973,26.2,22.85,29.73,0,1547,25.8,23.28,28.5,0,1278629,1153739,1412439,true,false
SD,"Mar 22 -  Apr 2, 2021",17,Statewide,Statewide,864289,6,777,,,,168,32.2,19.99,40.53,0,110,28,13.25,39.64,0,55,777,,,,186,29.2,19.58,41.91,0,153,26.6,12.73,35.93,0,339,27.9,18.43,33.86,0,241137,159288,292648,true,false
TN,"Mar 22 -  Apr 3, 2021",17,Statewide,Statewide,6651089,202,36.3,29.45,43.8,0,284,28.1,22.43,33.95,0,391,23.9,19.38,28.82,0,701,14.7,12.1,17.56,0,646,26.1,21.77,31.06,0,932,27.9,23.8,32.33,0,1578,27,23.76,30.02,0,1795794,1580299,1996657,true,false
TX,"Mar 18 -  Apr 1, 2021",17,Statewide,Statewide,27885195,85,40.3,27.99,53.09,0,387,33,26.95,38.59,0,386,24.7,19.64,29.65,0,329,14,10.31,19.1,0,394,32.4,24.9,39.48,0,793,30,24.99,34.73,0,1187,31.2,26.62,35.21,0,8700181,7423039,9818377,true,false
UT,"Mar 22 - Mar 30, 2021",17,Statewide,Statewide,3045350,52,777,,,,456,30.7,25.57,35.71,0,431,25.4,20.77,30.84,0,371,14.1,10.24,18.53,0,453,31.6,22.82,39.71,0,857,28.2,22.07,33.89,0,1310,29.9,24.52,35.05,0,910560,746720,1067395,true,false
VA,"Mar 18 - Mar 31, 2021",17,Statewide,Statewide,8413774,16,777,,,,304,17.4,13.05,22.3,0,306,13.7,9.03,19.3,0,304,5.9,3.26,9.03,0,358,11,6.72,15.68,0,572,18.5,13.94,23.64,0,930,14.8,11.49,18.47,0,1245239,966743,1554024,true,false
VT,"Mar 22 -  Apr 3, 2021",17,Statewide,Statewide,624977,17,777,,,,244,2.2,0.26,4.8,0,171,0.6,0,1.82,1,124,2.6,0,6.68,1,184,2.2,0.34,4.95,0,372,1.3,0.19,2.77,0,556,1.7,0.52,3.38,0,10625,3250,21124,false,true
WA,"Mar 15 - Mar 31, 2021",17,Statewide,Statewide,7294336,270,5.5,2.61,8.58,0,327,5.3,2.82,8.25,0,324,5,2.59,8.03,0,393,3.7,1.62,6.16,0,582,6.1,3.77,8.82,0,732,3.9,2.35,5.62,0,1314,5,3.67,6.56,0,364717,267702,478508,true,false
WI,"Mar 22 -  Apr 2, 2021",17,Statewide,Statewide,5778394,51,777,,,,606,34.4,29.95,39.3,0,443,28.9,23.82,34.9,0,242,20.6,14.48,27.06,0,500,29.6,23.71,35.99,0,842,32.1,26.85,37.43,0,1342,30.8,27.12,35.1,0,1779745,1567100,2028216,true,false
WV,"Mar 21 -  Apr 3, 2021",17,Statewide,Statewide,1829054,40,777,,,,418,15.2,11.47,19,0,315,11.2,7.49,15.21,0,313,7.9,4.44,11.37,0,469,14.9,10.57,20.08,0,617,8.5,6.13,11.24,0,1086,11.7,9.24,14.45,0,213999,169005,264298,true,false
WY,"Mar 22 -  Apr 2, 2021",17,Statewide,Statewide,581836,21,777,,,,259,26,19.57,32.23,0,205,18.5,11.91,25.33,0,212,13.3,8.35,18.62,0,298,23.3,14.29,35.11,0,399,25.2,17.95,32.24,0,697,24.2,18.51,31.01,0,140804,107698,180427,true,false
US,"Mar 15 -  Apr 4, 2021",17,50 States & DC,50 States & DC,322903030,8396,25.9,24.74,27.04,0,19332,22.5,21.72,23.31,0,16729,18.6,17.76,19.53,0,16452,13.1,12.39,13.84,0,24781,21,20.21,21.7,0,36127,20.5,19.86,21.04,0,60909,20.7,20.24,21.15,0,66840927,65355573,68293991,true,false
AK,"Mar 31 - Apr 15, 2021",18,Statewide,Statewide,738516,34,777,,,,510,7.9,5.33,10.43,0,364,8.3,5.43,11.56,0,401,5.4,2.91,7.92,0,543,10.3,4.92,17.33,0,766,9.5,6.04,13.79,0,1309,9.9,6.19,14.21,0,73113,45714,104943,true,false
AL,"Apr 5 - Apr 17, 2021",18,Statewide,Statewide,4864680,175,38.3,30.57,45.77,0,314,33.5,28.38,38.61,0,453,24.5,20.79,28.43,0,543,17.7,14.16,20.95,0,669,29.5,25.54,34.16,0,816,31,27.32,35.08,0,1485,30.3,27.36,33.38,0,1473998,1330976,1623830,true,false
AR,"Apr 5 - Apr 18, 2021",18,Statewide,Statewide,2990671,277,30.9,24.93,37.11,0,373,31.6,26.88,36.53,0,375,19.5,15.25,24.13,0,335,15,11.09,19.57,0,543,25.8,21.8,29.83,0,817,27.1,23.39,30.54,0,1360,26.4,23.62,28.92,0,789537,706396,864902,true,false
AZ,"Apr 5 -  Apr 8, 2021",18,Statewide,Statewide,6946685,181,38.7,30.76,45.91,0,401,29,24.31,33.67,0,402,23.2,19.26,27.45,0,408,14.9,11.28,18.88,0,585,27.7,23.19,32.82,0,807,28,24.2,31.3,0,1392,27.9,25.1,30.74,0,1938125,1743618,2135411,true,false
CA,"Apr 5 -  Apr 9, 2021",18,Statewide,Statewide,39148760,322,38.3,33.13,43.74,0,310,21.1,16.17,25.72,0,322,21.6,17.37,26.68,0,324,13,9.26,17,0,597,22.5,18.68,26.44,0,681,25.6,21.9,29.6,0,1278,24.1,21.47,26.77,0,9434851,8405239,10480123,true,false
CO,"Mar 29 - Apr 16, 2021",18,Statewide,Statewide,5531141,79,14.7,7.22,23.04,0,452,13.8,9.87,18.34,0,362,16.6,12.02,22.22,0,387,7,3.13,12.41,0,537,13.4,9.04,18.59,0,743,13.8,10.85,16.67,0,1280,13.6,10.82,16.96,0,752235,598469,938082,true,false
CT,"Apr 5 - Apr 18, 2021",18,Statewide,Statewide,3581504,180,10.8,6.1,15.65,0,370,10.9,7.72,14.43,0,367,10.9,7.55,14.81,0,369,7.8,4.99,10.94,0,536,11.3,8.12,14.7,0,750,9.5,7.32,12.04,0,1286,10.4,8.58,12.29,0,372476,307293,440167,true,false
DC,"Apr 5 - Apr 10, 2021",18,Statewide,Statewide,684498,77,26.5,16.3,37.32,0,460,24.6,20.15,28.53,0,337,17.9,13.82,22.02,0,442,13.4,9.82,16.46,0,516,24.9,20.36,30.06,0,800,20.4,16.68,24.02,0,1316,22.6,19.69,25.6,0,154697,134778,175231,true,false
DE,"Apr 5 - Apr 17, 2021",18,Statewide,Statewide,949495,150,22.2,15.99,29.56,0,492,16.9,13.62,20.26,0,439,16.8,13.36,20.82,0,399,9.4,6.39,12.35,0,540,15.9,12.35,20.03,0,940,17.5,14.65,20.39,0,1480,16.7,14.45,19.09,0,158566,137202,181259,true,false
FL,"Apr 5 - Apr 12, 2021",18,Statewide,Statewide,20598139,328,25.2,20.34,30.37,0,328,28.3,23.4,33.71,0,458,18,14.84,21.54,0,200,11.5,6.95,16.82,0,576,22.6,18.47,26.54,0,738,22,18.83,25.4,0,1314,22.3,19.78,24.8,0,4593385,4074312,5108338,true,false
GA,"Apr 5 -  Apr 7, 2021",18,Statewide,Statewide,10297484,325,23.2,18.04,28.42,0,325,15.6,11.73,20.4,0,324,21.3,16.58,26.32,0,325,9.4,6.16,12.79,0,542,17.8,14.31,21.43,0,757,17.6,14.44,21.17,0,1299,17.7,15.41,20.36,0,1822655,1586842,2096568,true,false
HI,"Apr 1 - Apr 18, 2021",18,Statewide,Statewide,1422029,32,777,,,,367,2,0.47,3.51,0,363,2.4,0.86,4.28,0,562,2.9,1.3,4.43,0,511,3.1,0.61,7.1,0,813,1.9,0.98,3.05,0,1324,2.5,1.19,4.6,0,35551,16922,65413,true,false
IA,"Apr 1 - Apr 16, 2021",18,Statewide,Statewide,3132499,51,777,,,,589,16.6,13.13,20.18,0,373,21.1,16.67,25.55,0,280,13.2,9.23,18.06,0,524,23.3,17.32,29.08,0,769,17.8,13.6,22.96,0,1293,20.5,16.92,24.12,0,642162,530019,755559,true,false
ID,"Apr 2 - Apr 16, 2021",18,Statewide,Statewide,1687809,40,777,,,,472,14.1,10.19,18.01,0,342,21.1,15.23,26.8,0,439,13.3,9.96,17.37,0,488,15.6,9.83,21.57,0,805,21.4,14.53,28.25,0,1293,18.5,14.21,22.72,0,312245,239838,383470,true,false
IL,"Apr 5 - Apr 17, 2021",18,Statewide,Statewide,12821497,520,36.1,30.85,41.45,0,260,38.7,31.86,45.2,0,279,28.5,22.95,34.08,0,244,22,15.59,29.13,0,495,35.6,30.4,41.99,0,808,31.6,28.02,35.65,0,1303,33.6,30.53,36.82,0,4308023,3914403,4720875,true,false
IN,"Apr 1 - Apr 14, 2021",18,Statewide,Statewide,6637426,20,777,,,,466,25.7,20.9,30.59,0,188,25.9,18.14,34.91,0,148,19.7,11.85,28.52,0,213,29.3,19.1,42.32,0,609,22.4,17.2,27.65,0,822,25.8,20.03,31.98,0,1712456,1329476,2122649,true,false
KS,"Apr 2 - Apr 13, 2021",18,Statewide,Statewide,2908776,163,21.2,14.98,28.48,0,462,13.7,10.43,17.47,0,330,12.8,8.86,17.01,0,338,11.1,7.01,15.35,0,536,14.7,11.2,18.13,0,757,15.3,12.17,18.67,0,1293,15,12.66,17.53,0,436316,368251,509908,true,false
KY,"Apr 5 - Apr 18, 2021",18,Statewide,Statewide,4440204,335,25.5,20.8,30.16,0,245,25.8,20.35,31.45,0,348,24.7,20.03,29.33,0,422,15.5,12.13,19.09,0,577,23,18.82,27.01,0,773,24.8,21.28,28.73,0,1350,23.9,21.34,26.53,0,1061209,947540,1177986,true,false
LA,"Apr 1 - Apr 17, 2021",18,Statewide,Statewide,4663616,324,16.3,11.11,22.09,0,320,12.9,8.86,17.25,0,325,18.3,14.03,23.02,0,325,11.3,7.48,15.44,0,551,16,12.66,19.72,0,743,13.1,10.24,16.12,0,1294,14.5,12.27,17.04,0,676224,572226,794680,true,false
MA,"Apr 5 - Apr 17, 2021",18,Statewide,Statewide,6830193,194,13.3,8.01,18.46,0,368,9.2,6.06,12.04,0,367,11.5,8.08,15.18,0,364,10.3,7.01,13.46,0,552,10.6,7.6,13.61,0,741,10.7,8.1,13.25,0,1293,10.7,8.84,12.7,0,730831,603789,867435,true,false
MD,"Apr 1 - Apr 15, 2021",18,Statewide,Statewide,6003435,48,777,,,,385,33.3,27.74,37.69,0,370,12.6,9.13,16.3,0,372,6.2,3.71,9.05,0,500,26.3,20.38,32.02,0,675,25.2,20.29,29.9,0,1175,25.7,21.9,29.37,0,1542883,1314752,1763209,true,false
ME,"Apr 5 - Apr 17, 2021",18,Statewide,Statewide,1332813,13,777,,,,259,5,2.03,8.24,0,176,5,1.84,9.34,0,149,4.4,1.56,7.76,0,233,6.4,2.74,10.34,0,364,3.1,1.24,5.3,0,597,4.7,2.81,6.98,0,62642,37452,93030,false,false
MI,"Apr 5 - Apr 18, 2021",18,Statewide,Statewide,9957488,78,25.2,15.3,34.88,0,430,31,26.31,35.33,0,459,19.1,14.88,23.3,0,378,12.7,9.36,16.13,0,482,22.9,18.12,27.52,0,863,25.6,21.85,29.79,0,1345,24.3,21.32,27.62,0,2419670,2122936,2750258,true,false
MN,"Mar 30 - Apr 16, 2021",18,Statewide,Statewide,5527358,96,3.9,0.76,7.88,0,640,10.9,8.54,13.74,0,303,17.3,12.18,22.43,0,258,14.7,9.56,19.88,0,519,11.7,8.54,15.06,0,778,10.6,8.14,13.03,0,1297,11.1,9.23,13.25,0,613537,510175,732375,true,false
MO,"Apr 5 - Apr 18, 2021",18,Statewide,Statewide,6090062,195,29.5,21.78,38.52,0,364,26.6,20.9,32.4,0,387,29.3,23.62,35.59,0,401,15.7,10.85,20.41,0,592,27.7,22.32,32.46,0,755,24.5,20.07,28.93,0,1347,26,22.94,29.45,0,1583416,1397060,1793523,true,false
MS,"Apr 5 - Apr 14, 2021",18,Statewide,Statewide,2988762,31,777,,,,616,31.5,27.72,35.57,0,495,24,20.3,27.74,0,386,19.2,15.01,23.49,0,553,24,17.58,31.52,0,975,31.2,26.31,36.76,0,1528,27.7,23.81,32.33,0,827887,711624,966267,true,false
MT,"Apr 5 - Apr 16, 2021",18,Statewide,Statewide,1041732,22,777,,,,134,14.8,8.65,21.74,0,79,12.4,4.22,20.69,0,76,8.7,1.84,16.37,0,109,14.3,6.45,22.43,0,202,12.1,6.48,17.74,0,311,13.2,8.53,18.17,0,137509,88860,189283,true,false
NC,"Apr 5 - Apr 14, 2021",18,Statewide,Statewide,10155624,327,21,16.56,25.76,0,325,31,25.83,36,0,330,16.5,12.36,21.02,0,322,12.1,8.82,16.2,0,560,22.8,18.91,26.82,0,744,23.2,19.7,26.71,0,1304,23,20.21,25.64,0,2335794,2052452,2603902,true,false
ND,"Apr 5 - Apr 16, 2021",18,Statewide,Statewide,752201,0,666,,,,4,777,,,,6,777,,,,12,777,,,,13,777,,,,9,777,,,,22,777,,,,,,,false,
NE,"Apr 2 - Apr 16, 2021",18,Statewide,Statewide,1904760,71,777,,,,614,16.6,12.97,19.96,0,347,18.7,13.87,24,0,260,15.9,11.27,21.45,0,517,19.1,12.7,24.83,0,775,16.7,12.92,21.01,0,1292,17.9,14.09,21.36,0,340952,268381,406857,true,false
NH,"Apr 5 -  Apr 8, 2021",18,Statewide,Statewide,1343622,16,777,,,,515,7.6,5.07,10.21,0,440,7.2,4.78,9.87,0,333,6.7,3.62,10.04,0,540,8.4,4.71,16.02,0,764,7.4,5.17,10.14,0,1304,7.9,5.64,11.89,0,106146,75780,159757,true,false
NJ,"Apr 1 - Apr 15, 2021",18,Statewide,Statewide,8881845,194,44.5,36.82,52.04,0,352,33.9,28.71,39.16,0,288,21.9,16.9,27.23,0,309,18.3,14.06,22.96,0,454,31.8,27.15,36.43,0,689,30.9,27.19,34.64,0,1143,31.3,28.13,34.31,0,2780017,2498463,3047361,true,false
NM,"Mar 30 - Apr 17, 2021",18,Statewide,Statewide,2092434,159,20.8,14.3,28.59,0,380,16.3,12.47,20.45,0,379,16.7,12.7,20.82,0,379,10.2,6.88,13.54,0,538,15.9,11.91,19.98,0,759,16.9,13.51,20.29,0,1297,16.4,14,18.91,0,343159,292941,395679,true,false
NV,"Apr 5 - Apr 16, 2021",18,Statewide,Statewide,2922849,107,32.3,23.17,42.2,0,417,31.6,26.8,36.23,0,395,22.9,18.43,27.68,0,388,13.5,10.05,17.24,0,536,28,22.94,32.83,0,771,26.7,23.04,31.02,0,1307,27.4,24.19,30.67,0,800861,707037,896438,true,false
NY,"Mar 30 - Apr 17, 2021",18,Statewide,Statewide,19618453,264,13.8,9.5,18.34,0,355,11.2,7.96,14.85,0,346,15.3,10.98,19.35,0,332,9.3,6.26,13,0,577,13.7,10.74,17.23,0,720,10.9,8.58,13.54,0,1297,12.3,10.32,14.48,0,2413070,2024624,2840752,true,false
OH,"Apr 5 - Apr 17, 2021",18,Statewide,Statewide,11641879,332,33.8,29.17,38.85,0,354,38.4,33.54,43.71,0,342,33.9,28.6,39.11,0,344,18.3,14.01,22.59,0,708,42.2,38.2,45.96,0,664,24.5,20.52,27.99,0,1372,33.2,30.65,35.91,0,3865104,3568236,4180599,true,false
OK,"Apr 2 -  Apr 9, 2021",18,Statewide,Statewide,3918137,325,23.2,18.7,27.69,0,325,16.4,12.25,20.51,0,325,19.1,14.85,23.37,0,325,17.4,13.41,21.78,0,511,21.9,18.02,25.56,0,789,15.6,13,18.11,0,1300,18.7,16.29,20.9,0,732692,638265,818891,true,false
OR,"Apr 2 - Apr 14, 2021",18,Statewide,Statewide,4081943,153,14.5,9.09,20.75,0,344,4.9,2.65,7.76,0,370,4.5,2.16,7.1,0,441,4.6,2.42,7.05,0,545,8.5,5.6,11.73,0,763,5.1,3.28,7.33,0,1308,6.8,5.04,8.64,0,277572,205730,352680,true,false
PA,"Apr 5 - Apr 18, 2021",18,Statewide,Statewide,12791181,381,20.9,16.88,25.47,0,358,27.3,22.61,33.07,0,399,22.2,16.52,28.32,0,454,14,9.91,18.49,0,617,23.2,19.13,27.11,0,975,21.9,18.39,25.68,0,1592,22.5,19.95,25.53,0,2878016,2551841,3265589,true,false
PR,"Apr 5 - Apr 13, 2021",18,Statewide,Statewide,3386941,325,8.9,5.58,12.54,0,325,39.7,32.85,46.43,0,325,50.2,43.78,58.29,0,325,84.2,78.55,89.78,0,520,44.9,39.89,50.52,0,780,43,38.56,47.64,0,1300,43.9,40.67,47.31,0,1486867,1377469,1602362,true,false
RI,"Apr 5 - Apr 17, 2021",18,Statewide,Statewide,1056611,51,777,,,,381,11.1,7.86,14.67,0,255,15,10.74,19.31,0,257,11,6.86,15.53,0,430,13.6,9.87,17.39,0,514,11.3,7.86,14.8,0,944,12.4,9.99,14.87,0,131020,105555,157118,true,false
SC,"Apr 5 - Apr 15, 2021",18,Statewide,Statewide,4955925,351,34.6,29.62,40.12,0,323,26.1,21.19,30.79,0,386,17.6,13.16,22.17,0,324,13.7,9.58,17.85,0,569,20.5,16.9,24.33,0,815,27.6,24.27,30.91,0,1384,24.2,21.55,26.47,0,1199334,1068002,1311833,true,false
SD,"Apr 5 - Apr 16, 2021",18,Statewide,Statewide,864289,6,777,,,,94,30,16.03,49.13,0,55,777,,,,60,777,,,,73,777,,,,142,24.4,13.9,38.51,0,215,26.3,16.9,38.82,0,227308,146065,335517,true,false
TN,"Apr 5 - Apr 17, 2021",18,Statewide,Statewide,6651089,210,41.5,35.4,48.51,0,502,29.6,25.17,33.85,0,476,24.2,19.84,28.42,0,262,19,13.94,24.27,0,578,30,25.62,34.08,0,872,29.1,25.72,32.54,0,1450,29.5,26.87,32.35,0,1962071,1787148,2151627,true,false
TX,"Apr 1 - Apr 15, 2021",18,Statewide,Statewide,27885195,103,38.5,27.03,50.81,0,365,36.4,30.07,42.73,0,365,32.8,27.12,38.43,0,365,16,11.56,21.02,0,395,36.8,30.01,43.84,0,803,30.9,25.67,35.85,0,1198,33.9,29.92,38.55,0,9453081,8343250,10749743,true,false
UT,"Apr 5 - Apr 12, 2021",18,Statewide,Statewide,3045350,56,777,,,,440,27.8,22.89,32.89,0,456,25.2,20.46,30.06,0,362,14.4,10.27,18.37,0,457,25.5,17.28,33.56,0,857,29.3,23.57,35.26,0,1314,27.4,22.15,32.21,0,834426,674545,980907,true,false
VA,"Apr 1 - Apr 15, 2021",18,Statewide,Statewide,8413774,17,777,,,,402,16.6,12.74,21.09,0,352,15.7,11.74,20.48,0,348,6.2,3.39,9.52,0,419,12,8.02,17.09,0,700,19.5,14.62,27.85,0,1119,15.8,12.64,19.82,0,1329376,1063501,1667610,true,false
VT,"Apr 5 - Apr 17, 2021",18,Statewide,Statewide,624977,18,777,,,,259,1.6,0,3.5,0,166,1.8,0,4.03,0,157,4.1,1,7.89,0,232,1.6,0,3.16,0,368,3.1,1.11,6.66,0,600,2.4,0.98,4.25,0,14999,6125,26562,true,false
WA,"Apr 2 - Apr 15, 2021",18,Statewide,Statewide,7294336,215,12.5,7.66,17.22,0,333,5.6,3.15,8.27,0,427,4.1,2.16,6.23,0,326,3.6,1.31,6.39,0,550,7.9,5.34,10.66,0,751,5.3,3.37,7.16,0,1301,6.6,4.92,8.19,0,481426,358881,597406,true,false
WI,"Apr 5 - Apr 17, 2021",18,Statewide,Statewide,5778394,104,35.6,24.87,46.54,0,439,33.2,27.94,38.72,0,480,26.1,21.64,30.63,0,298,19.6,14.51,24.49,0,541,32,26.79,37.75,0,780,28.2,23.62,32.19,0,1321,30.1,26.59,33.36,0,1739297,1536475,1927672,true,false
WV,"Apr 5 - Apr 17, 2021",18,Statewide,Statewide,1829054,38,777,,,,361,10.5,7.18,13.8,0,306,9.6,6.21,13.11,0,330,11.9,8.61,16.07,0,449,10.9,7.79,14.61,0,586,10,6.43,14.12,0,1035,10.5,7.89,13.22,0,192051,144312,241801,true,false
WY,"Apr 5 - Apr 17, 2021",18,Statewide,Statewide,581836,32,777,,,,393,31.5,27.12,36.3,0,342,26.9,21.83,32.01,0,245,12.8,8.74,17.28,0,462,27.5,20.09,36.03,0,550,30.6,23.97,37.84,0,1012,29,23.75,33.81,0,168732,138186,196719,true,false
US,"Mar 29 - Apr 18, 2021",18,50 States & DC,50 States & DC,322903030,7820,27.2,25.98,28.55,0,19347,23.6,22.77,24.46,0,17420,20.3,19.43,21.21,0,16508,13,12.24,13.8,0,24890,22.3,21.53,22.97,0,36205,21.3,20.61,21.92,0,61095,21.8,21.24,22.23,0,70392861,68584604,71781344,true,false
AK,"Apr 14 - Apr 30, 2021",19,Statewide,Statewide,738516,48,777,,,,482,10.3,7.02,13.57,0,442,9.9,6.98,13.11,0,336,8.5,5.31,12.11,0,527,10.5,6.66,14.71,0,781,11.8,7.96,16.5,0,1308,11.1,8.44,14.1,0,81975,62331,104131,true,false
AL,"Apr 19 -  May 2, 2021",19,Statewide,Statewide,4864680,251,35.3,29.39,41.07,0,439,29,24.79,33.71,0,485,22.5,19.08,26.99,0,486,17.3,13.69,20.91,0,717,28.5,24.59,32.76,0,944,26,22.81,29.06,0,1661,27.2,24.92,29.95,0,1323193,1212278,1456972,true,false
AR,"Apr 19 -  May 1, 2021",19,Statewide,Statewide,2990671,306,33.6,28.12,39.22,0,348,22.3,17.67,27.04,0,345,23.6,18.52,29.37,0,347,17,12.86,21.36,0,513,26.1,22.05,30.16,0,833,22.7,19.58,25.9,0,1346,24.3,21.76,27.17,0,726733,650770,812565,true,false
AZ,"Apr 19 - Apr 23, 2021",19,Statewide,Statewide,6946685,233,35.1,28.92,41.31,0,330,27.3,22.74,32.18,0,347,21.7,17.26,26.13,0,387,16.7,12.39,20.97,0,556,26.2,22.22,30.8,0,741,26.5,22.86,30.5,0,1297,26.3,23.72,29.33,0,1826978,1647754,2037463,true,false
CA,"Apr 19 - Apr 24, 2021",19,Statewide,Statewide,39148760,324,42.2,36.66,47.72,0,328,19.7,14.89,24.91,0,328,23.1,17.88,27.83,0,326,17.1,13.14,21.28,0,627,22.9,19.22,26.6,0,679,27.4,23.65,31.27,0,1306,25.2,22.64,27.99,0,9865488,8863279,10957738,true,false
CO,"Apr 12 - Apr 23, 2021",19,Statewide,Statewide,5531141,84,12.5,5.6,20.82,0,474,12.6,8.64,18.15,0,348,13.5,9.62,19.24,0,417,4.8,2.64,7.18,0,557,12.4,8.42,18.59,0,766,11,8.01,14.35,0,1323,11.7,8.95,15.26,0,647143,495037,844052,true,false
CT,"Apr 19 -  May 2, 2021",19,Statewide,Statewide,3581504,165,14.6,8.89,19.84,0,380,10.6,7.28,13.78,0,371,14.3,10.9,18.27,0,377,8.3,5.43,11.45,0,532,11.3,8.16,14.48,0,761,12.4,9.56,15.07,0,1293,11.9,9.99,13.94,0,426199,357792,499262,true,false
DC,"Apr 19 -  May 1, 2021",19,Statewide,Statewide,684498,109,39.2,29.74,47.96,0,362,20.6,16.35,25.35,0,455,22.3,18.3,26.28,0,377,11.3,8.19,14.88,0,513,25.5,20.5,30.58,0,790,20.9,17.5,24.95,0,1303,23.1,19.73,26.05,0,158119,135051,178312,true,false
DE,"Apr 19 -  May 1, 2021",19,Statewide,Statewide,949495,176,27.3,20.02,33.73,0,270,20.4,14.98,25.23,0,378,14.1,10.65,17.87,0,368,10.9,7.71,14.01,0,433,19.3,14.95,23.88,0,759,18.5,15.37,21.89,0,1192,18.9,16.2,21.59,0,179455,153818,204996,true,false
FL,"Apr 20 - Apr 26, 2021",19,Statewide,Statewide,20598139,330,25.6,20.96,30.29,0,348,25.3,21.1,30,0,329,16.9,12.87,20.78,0,331,12.2,8.82,15.87,0,581,19.5,16.1,23.18,0,757,22.6,19.62,25.68,0,1338,21.1,19,23.56,0,4346207,3913646,4852922,true,false
